traffic_simulator | Visit: tim-1999-2019 to http://some.place.com/app/catalog/pi/B
traffic_simulator | Visit: mary-456 to http://some.place.com/app/catalog/arduino/Leonardo
kafkacli_1     | {"msg":"write","key":["test","site-tracking","fDipglBHakGbYjkqPOc1kSElCQw=",null],"gen":0,"exp":0,"lut":0,"bins":[{"name":"name-bin","type":"str","value":"mary-456"},{"name":"visit-bin","type":"map","value":{"http://some.place.com/app/catalog/pi/zeroW":2,"http://some.place.com/app/catalog/pi/Aplus":3,"http://some.place.com/app/catalog/pi/3Aplus":2,"http://some.place.com/app/catalog/pi/zero":2,"http://some.place.com/app//catalog/banana":1,"http://some.place.com/app/catalog/glue":2,"http://some.place.com/app/catalog/bike":3,"http://some.place.com/app/catalog/arduino/Mega":1,"http://some.place.com/app/catalog/lego":2,"http://some.place.com/app/catalog/paint":2,"http://some.place.com/app/catalog/pi/2":3,"http://some.place.com/app/catalog/arduino/uno":2,"http://some.place.com/app/catalog/bread":2,"http://some.place.com/app/catalog/arduino":2,"http://some.place.com/app/catalog/teddybare":2,"http://some.place.com/app/catalog/cloth":2,"http://some.place.com/app/catalog/doll":2,"http://some.place.com/app/catalog/pi/3Bplus":1,"http://some.place.com/app/catalog/arduino/Leonardo":2,"http://some.place.com/app/catalog/arduino/due":2,"http://some.place.com/app/catalog/lemon":1,"http://some.place.com/app/catalog":2,"http://some.place.com/app/catalog/pi/B":1,"http://some.place.com/app/catalog/pi/3":2,"http://some.place.com/app/catalog/pare":2,"http://some.place.com/app/catalog/pi/4":2,"http://some.place.com/app/catalog/arduino/lilypad":1}}]}
kafkacli_1     | {"msg":"write","key":["test","site-tracking","BL9kYWioQFX+7QycksRSIoDcet0=",null],"gen":0,"exp":0,"lut":0,"bins":[{"name":"name-bin","type":"str","value":"peter-1999-2019"},{"name":"visit-bin","type":"map","value":{"http://some.place.com/app/catalog/arduino/uno":2,"http://some.place.com/app/catalog/pineapple":1,"http://some.place.com/app/catalog/scooter":3,"http://some.place.com/app":2,"http://some.place.com/app/catalog/arduino/Leonardo":1,"http://some.place.com/app/catalog/arduino/due":3,"http://some.place.com/app/catalog/lemon":1,"http://some.place.com/app/catalog/arduino/Mega":4,"http://some.place.com/app/catalog/glue":1,"http://some.place.com/app/catalog/doll":3,"http://some.place.com/app/catalog/pi/B":2,"http://some.place.com/app/catalog/paint":1,"http://some.place.com/app/catalog/pi/3":2,"http://some.place.com/app/catalog/lego":1,"http://some.place.com/app/catalog/cloth":2,"http://some.place.com/app/catalog/arduino/lilypad":1,"http://some.place.com/app/catalog/pi/zeroW":1,"http://some.place.com/app//catalog/banana":2,"http://some.place.com/app/catalog":2,"http://some.place.com/app/catalog/pi/3Aplus":1,"http://some.place.com/app/catalog/pare":3,"http://some.place.com/app/catalog/pi/3Bplus":2,"http://some.place.com/app/catalog/pi/2":1,"http://some.place.com/app/catalog/pi/zero":1,"http://some.place.com/app/catalog/bread":1,"http://some.place.com/app/catalog/pi/4":1}}]}
kafkacli_1     | {"msg":"write","key":["test","site-tracking","qG8znsq2e39l1km48THkKp1HJ1w=",null],"gen":0,"exp":0,"lut":0,"bins":[{"name":"name-bin","type":"str","value":"pierre-921"},{"name":"visit-bin","type":"map","value":{"http://some.place.com/app/catalog/scooter":2,"http://some.place.com/app/catalog/pi/3Aplus":2,"http://some.place.com/app/catalog/pi/3Bplus":2,"http://some.place.com/app/catalog":3,"http://some.place.com/app/catalog/pineapple":1,"http://some.place.com/app/catalog/arduino/lilypad":4,"http://some.place.com/app/catalog/pi/Aplus":1,"http://some.place.com/app/catalog/glue":2,"http://some.place.com/app/catalog/arduino/due":2,"http://some.place.com/app/catalog/pi/4":3,"http://some.place.com/app/catalog/doll":2,"http://some.place.com/app/catalog/arduino/Leonardo":1,"http://some.place.com/app/catalog/arduino":1,"http://some.place.com/app/catalog/paint":1,"http://some.place.com/app/catalog/pi/B":1,"http://some.place.com/app/catalog/pi/3":2,"http://some.place.com/app":1,"http://some.place.com/app/catalog/pi/zeroW":2,"http://some.place.com/app/catalog/bike":2,"http://some.place.com/app/catalog/pare":3,"http://some.place.com/app/catalog/arduino/Mega":2,"http://some.place.com/app/catalog/bread":2,"http://some.place.com/app/catalog/lego":3,"http://some.place.com/app/catalog/lemon":2,"http://some.place.com/app/catalog/teddybare":2,"http://some.place.com/app/catalog/arduino/uno":1}}]}
kafkacli_1     | {"msg":"write","key":["test","site-tracking","2D6SvxTE5r2C89Ytx727tHH0+j8=",null],"gen":0,"exp":0,"lut":0,"bins":[{"name":"name-bin","type":"str","value":"marius-928"},{"name":"visit-bin","type":"map","value":{"http://some.place.com/app/catalog/pi/zeroW":3,"http://some.place.com/app/catalog/bike":1,"http://some.place.com/app//catalog/banana":3,"http://some.place.com/app/catalog/arduino":4,"http://some.place.com/app/catalog/arduino/due":2,"http://some.place.com/app/catalog/lemon":1,"http://some.place.com/app/catalog/pi/zero":1,"http://some.place.com/app/catalog/pi/Aplus":1,"http://some.place.com/app/catalog/arduino/lilypad":2,"http://some.place.com/app/catalog/arduino/Mega":3,"http://some.place.com/app/catalog/arduino/uno":3,"http://some.place.com/app/catalog/pi/3Aplus":2,"http://some.place.com/app/catalog/pare":2,"http://some.place.com/app":1,"http://some.place.com/app/catalog/cloth":2,"http://some.place.com/app/catalog/scooter":3,"http://some.place.com/app/catalog/teddybare":2,"http://some.place.com/app/catalog/paint":2,"http://some.place.com/app/catalog/pi/3":2,"http://some.place.com/app/catalog/pineapple":2,"http://some.place.com/app/catalog/pi/3Bplus":2,"http://some.place.com/app/catalog/arduino/Leonardo":2,"http://some.place.com/app/catalog/blocks":2,"http://some.place.com/app/catalog/pi/2":2,"http://some.place.com/app/catalog/glue":2,"http://some.place.com/app/catalog/pi/4":1,"http://some.place.com/app/catalog/lego":2,"http://some.place.com/app/catalog/doll":1,"http://some.place.com/app/catalog/pi/B":1}}]}
kafkacli_1     | {"msg":"write","key":["test","site-tracking","DQh6wd23WD6w8aBtKkraydnwEHU=",null],"gen":0,"exp":0,"lut":0,"bins":[{"name":"name-bin","type":"str","value":"katja-928"},{"name":"visit-bin","type":"map","value":{"http://some.place.com/app/catalog/pi/B":5,"http://some.place.com/app/catalog/bread":4,"http://some.place.com/app/catalog/arduino/uno":1,"http://some.place.com/app/catalog/pi/zeroW":3,"http://some.place.com/app/catalog/scooter":1,"http://some.place.com/app/catalog/pi/4":3,"http://some.place.com/app/catalog":2,"http://some.place.com/app/catalog/lego":4,"http://some.place.com/app/catalog/pi/3":3,"http://some.place.com/app/catalog/pi/2":2,"http://some.place.com/app/catalog/pi/3Bplus":2,"http://some.place.com/app/catalog/pineapple":3,"http://some.place.com/app/catalog/lemon":2,"http://some.place.com/app/catalog/paint":1,"http://some.place.com/app/catalog/arduino/Mega":3,"http://some.place.com/app/catalog/arduino/due":2,"http://some.place.com/app/catalog/glue":2,"http://some.place.com/app":1,"http://some.place.com/app/catalog/pare":3,"http://some.place.com/app/catalog/arduino":1,"http://some.place.com/app/catalog/cloth":1,"http://some.place.com/app/catalog/doll":2,"http://some.place.com/app/catalog/arduino/lilypad":1,"http://some.place.com/app/catalog/arduino/Leonardo":1,"http://some.place.com/app//catalog/banana":1,"http://some.place.com/app/catalog/bike":1,"http://some.place.com/app/catalog/pi/Aplus":2,"http://some.place.com/app/catalog/pi/3Aplus":1}}]}
traffic_simulator | Visit: mark-281 to http://some.place.com/app/catalog
traffic_simulator | Visit: peter-1999-2019 to http://some.place.com/app/catalog/pi/4
kafkacli_1     | {"msg":"write","key":["test","site-tracking","fDipglBHakGbYjkqPOc1kSElCQw=",null],"gen":0,"exp":0,"lut":0,"bins":[{"name":"name-bin","type":"str","value":"mary-456"},{"name":"visit-bin","type":"map","value":{"http://some.place.com/app/catalog/pi/zeroW":2,"http://some.place.com/app/catalog/pi/Aplus":3,"http://some.place.com/app/catalog/pi/3Aplus":2,"http://some.place.com/app/catalog/pi/zero":2,"http://some.place.com/app//catalog/banana":1,"http://some.place.com/app/catalog/glue":2,"http://some.place.com/app/catalog/bike":3,"http://some.place.com/app/catalog/arduino/Mega":1,"http://some.place.com/app/catalog/lego":2,"http://some.place.com/app/catalog/paint":2,"http://some.place.com/app/catalog/pi/2":3,"http://some.place.com/app/catalog/arduino/uno":2,"http://some.place.com/app/catalog/bread":2,"http://some.place.com/app/catalog/arduino":2,"http://some.place.com/app/catalog/teddybare":2,"http://some.place.com/app/catalog/cloth":2,"http://some.place.com/app/catalog/doll":2,"http://some.place.com/app/catalog/pi/3Bplus":1,"http://some.place.com/app/catalog/arduino/Leonardo":2,"http://some.place.com/app/catalog/arduino/due":2,"http://some.place.com/app/catalog/lemon":1,"http://some.place.com/app/catalog":2,"http://some.place.com/app/catalog/pi/B":1,"http://some.place.com/app/catalog/pi/3":2,"http://some.place.com/app/catalog/pare":2,"http://some.place.com/app/catalog/pi/4":2,"http://some.place.com/app/catalog/arduino/lilypad":1}}]}
kafkacli_1     | {"msg":"write","key":["test","site-tracking","qG8znsq2e39l1km48THkKp1HJ1w=",null],"gen":0,"exp":0,"lut":0,"bins":[{"name":"name-bin","type":"str","value":"pierre-921"},{"name":"visit-bin","type":"map","value":{"http://some.place.com/app/catalog/scooter":2,"http://some.place.com/app/catalog/pi/3Aplus":2,"http://some.place.com/app/catalog/pi/3Bplus":2,"http://some.place.com/app/catalog":3,"http://some.place.com/app/catalog/pineapple":1,"http://some.place.com/app/catalog/arduino/lilypad":4,"http://some.place.com/app/catalog/pi/Aplus":1,"http://some.place.com/app/catalog/glue":2,"http://some.place.com/app/catalog/arduino/due":2,"http://some.place.com/app/catalog/pi/4":3,"http://some.place.com/app/catalog/doll":2,"http://some.place.com/app/catalog/arduino/Leonardo":1,"http://some.place.com/app/catalog/arduino":1,"http://some.place.com/app/catalog/paint":1,"http://some.place.com/app/catalog/pi/B":1,"http://some.place.com/app/catalog/pi/3":2,"http://some.place.com/app":1,"http://some.place.com/app/catalog/pi/zeroW":2,"http://some.place.com/app/catalog/bike":2,"http://some.place.com/app/catalog/pare":3,"http://some.place.com/app/catalog/arduino/Mega":2,"http://some.place.com/app/catalog/bread":2,"http://some.place.com/app/catalog/lego":3,"http://some.place.com/app/catalog/lemon":2,"http://some.place.com/app/catalog/teddybare":2,"http://some.place.com/app/catalog/arduino/uno":1}}]}
